company,domain,found_at,round,amount,amount_usd,verdict,description
Exergy3 Limited,exergy3.com,2026-04-22,Seed,£10 million,13500000,B2B,Thermal energy storage cleantech
CodeWords,codewords.ai,2026-05-07,Seed,$9 million,9000000,B2B,AI automation / workflows
Barocal Ltd.,barocal.com,2026-05-04,Seed,$10 million,10000000,B2B,Solid-state cooling / heat-pump cleantech
Northernlightmicroscopy,northernlightmicroscopy.com,2026-04-09,Pre Seed,£1 million,1350000,B2B,Scientific microscopy instruments
Fieldwork Robotics Ltd.,fieldworkrobotics.com,2026-04-08,Seed Plus,£2.5m,3310000,B2B,Agricultural harvesting robotics
Happl Ltd,happl.com,2026-05-11,Series A,$11 million,11000000,B2B,Employee-benefits platform (HR tech)
K3 Metrology Ltd,k3metrology.co.uk,2026-05-14,Seed,£2.75m,3680000,B2B,Precision metrology / measurement
Cerca Magnetics Ltd,cercamagnetics.com,2026-04-24,Series A,€4.3 million,5040000,B2B,Brain-scanner (OPM-MEG) medtech
"Scope, Inc.",getscope.ai,2026-05-20,Series A,€17.3 million,20100000,B2B,AI inspection workflow for TIC providers
Asterix Health,asterix.health,2026-06-08,Pre Seed,£2.1 million,2810000,B2B,Remote GP capacity for primary-care providers
